Weekdays,Output(Weekdays),Weekends,Output(Weekends),Special Days,Output(Specials)
"12-15PM","180","15-18PM","221","13-16PM","244"
"13-16PM","176","14-17PM","204","10-13AM","222"
"11-14PM","171","10-13PM","201","14-17PM","217"
